,index,name_x,name_y,cardwin_x,w_x,turn_x,turn_y,winrates,winrates_x,winrates_y,combowin,meanturn
413,21159,Aya Blackpaw,Brann Bronzebeard,141.0,219,2104,2104,0.643835616438,0.596563432452,0.553687160624,0.667413306332,9.60730593607
193,8251,Ancient of War,Jade Idol,165.0,271,2622,2622,0.608856088561,0.519495282483,0.602094240838,0.666065502069,9.67527675277
242,53036,Competitive Spirit,Avenge,383.0,515,3203,3203,0.743689320388,0.633607622347,0.603090294544,0.665881848121,6.21941747573
273,185278,Mark of the Lotus,Patches the Pirate,1211.0,2007,6340,6340,0.603388141505,0.581272970264,0.533454771637,0.665721187407,3.15894369706
319,156862,Jade Spirit,Fandral Staghelm,168.0,264,2184,2184,0.636363636364,0.561221302514,0.582997734709,0.665226827082,8.27272727273
158,318972,Wrath,Malygos,155.0,221,1948,1948,0.701357466063,0.519149821916,0.694968553459,0.664713859927,8.81447963801
349,100314,Faceless Shambler,Divine Spirit,184.0,288,2377,2377,0.638888888889,0.569430158404,0.577214781346,0.664635261484,8.25347222222
107,780,Abusive Sergeant,Flametongue Totem,208.0,346,2094,2094,0.601156069364,0.534398473829,0.580966242547,0.660775443415,6.05202312139
134,155325,Jade Idol,Aya Blackpaw,557.0,801,7614,7614,0.695380774032,0.602094240838,0.596563432452,0.660615294564,9.50561797753
179,154241,Jade Blossom,Nourish,724.0,1195,9805,9805,0.605857740586,0.572549779565,0.547472948007,0.658987752693,8.2050209205
189,102774,Fandral Staghelm,Jade Idol,1838.0,2710,24810,24810,0.678228782288,0.582997734709,0.602094240838,0.65864266694,9.15498154982
318,11965,Arcane Giant,Fandral Staghelm,174.0,268,2374,2374,0.649253731343,0.576627261074,0.582997734709,0.65819951281,8.85820895522
207,155534,Jade Idol,Jade Blossom,1612.0,2422,21107,21107,0.665565648225,0.602094240838,0.572549779565,0.657878894766,8.7146985962
164,31945,Blessing of Kings,Murloc Warleader,241.0,400,3356,3356,0.6025,0.542343623071,0.576294480351,0.656324372229,8.39
353,150677,Inner Fire,Purify,243.0,384,3057,3057,0.6328125,0.600804976217,0.547169811321,0.654899870234,7.9609375
206,156946,Jade Spirit,Jade Blossom,603.0,975,7829,7829,0.618461538462,0.561221302514,0.572549779565,0.654775294468,8.02974358974
191,192377,Mire Keeper,Jade Idol,157.0,249,1946,1946,0.630522088353,0.54417404644,0.602094240838,0.654620353553,7.81526104418
418,235140,Repentance,Mysterious Challenger,293.0,459,3044,3044,0.63834422658,0.536347197107,0.618786857624,0.654090369771,6.63180827887
383,279638,Sulfuras,Bloodhoof Brave,145.0,228,2454,2454,0.635964912281,0.642728256947,0.514574969454,0.653835396139,10.7631578947
